,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Bottega Veneta,leather jacket ,3205,15-Dec-2020,full/2dea6baab70889acfa15686647c7120bfa7bd31e.jpg,jacket,leather,,,
1,Bottega Veneta,leather jacket ,3205,15-Dec-2020,full/681235ea31df5926c2782baee84cb627a82ddb75.jpg,jacket,leather,,,
2,The Row,les bains mini leather tote,1250,15-Dec-2020,full/608d54cbf2c59f6ab6621a87c14b48a94db8ae28.jpg,tote,leather,,mini,
3,The Row,les bains mini leather tote,1250,15-Dec-2020,full/a9c7167366a9b9378f8b6a0a009d707f268a4ec7.jpg,tote,leather,,mini,
4,Balenciaga,printed silk-jacquard wide-leg pants ,1290,15-Dec-2020,full/9f5b555fa1fa8bc7bb51b0b99941b571ed332112.jpg,pants,silk,printed,,jacquard
5,Balenciaga,printed silk-jacquard wide-leg pants ,1290,15-Dec-2020,full/97fded1ee0b6ed4608f143b00d9c5acc265a8ac7.jpg,pants,silk,printed,,jacquard
6,Loewe,square basket leather-trimmed woven tote,425,15-Dec-2020,full/9c650590bda2890bc9f524bd67c088b2b6950f05.jpg,tote,leather-trimmed,woven,,
7,Loewe,square basket leather-trimmed woven tote,425,15-Dec-2020,full/e26fd0120cc2986827290d63073f13facaabefe7.jpg,tote,leather-trimmed,woven,,
8,Joseph,cenda belted wool and cashmere-blend coat,745,15-Dec-2020,full/34cad435955c86e56e42ede25297ded06173ecf3.jpg,coat,cashmere-blend,,,belted
9,Joseph,cenda belted wool and cashmere-blend coat,745,15-Dec-2020,full/4abfa0ec8d7d6f1782a05a56fdce879e5931d4fe.jpg,coat,cashmere-blend,,,belted
10,Loewe,appliquéd ribbed wool gloves,125,15-Dec-2020,full/95080c0135c8e2becd63190f9f34010afdca40ef.jpg,,wool,,,ribbed
11,Loewe,appliquéd ribbed wool gloves,125,15-Dec-2020,full/d0cd41634035f158151d016833777c2838fa866c.jpg,,wool,,,ribbed
12,Dolce & Gabbana,intarsia wool sweater,945,15-Dec-2020,full/022bbc5681746e438ac47cd3b8e912e716104f26.jpg,sweater,wool,,,
13,Dolce & Gabbana,intarsia wool sweater,945,15-Dec-2020,full/a72d594b1724f62cc8f54a732f05e0e484c81838.jpg,sweater,wool,,,
14,Aquazzura,very aspen shearling and leather ankle boots,835,15-Dec-2020,full/dae7dab1cd04a05576e5f9b9cf8e8f752e3aaa44.jpg,boots,leather,,,
15,Aquazzura,very aspen shearling and leather ankle boots,835,15-Dec-2020,full/97fa1f83ea76936f6c299193fea9c7029f259a0f.jpg,boots,leather,,,
16,Stella McCartney,+ net sustain elisabeth wool-twill blazer,1295,15-Dec-2020,full/a6ca207eb45d441b75ab23d65f73ec99bfe28ab0.jpg,blazer,wool,twill,,
17,Stella McCartney,+ net sustain elisabeth wool-twill blazer,1295,15-Dec-2020,full/1a93a21f5504c3e0c63601ea0fc6d0045efa8435.jpg,blazer,wool,twill,,
18,The Row,tr3 leather shoulder bag,2425,15-Dec-2020,full/af12bc59c8e1511e7fb8056e4122e3a84e3da407.jpg,bag,leather,,,
19,The Row,tr3 leather shoulder bag,2425,15-Dec-2020,full/d85cb08bbef1b16c85bbd62401d10ca9447d8ea2.jpg,bag,leather,,,
20,Vince,wool and cashmere-blend sweater,440,15-Dec-2020,full/4b3031d81c4a5e542da8a538c8019c40fc1043f6.jpg,sweater,cashmere-blend,,,
21,Vince,wool and cashmere-blend sweater,440,15-Dec-2020,full/ab8e31e061c1aba81cf4f09c51f76b93ced04cdf.jpg,sweater,cashmere-blend,,,
22,Alexander McQueen,leather exaggerated-sole over-the-knee boots,1050,15-Dec-2020,full/c4f3adc53770d35e2027caed8162e6bc45c0d75e.jpg,boots,leather,,,
23,Alexander McQueen,leather exaggerated-sole over-the-knee boots,1050,15-Dec-2020,full/9dedb82ae6364e0391173a55fa74b540ef70b97c.jpg,boots,leather,,,
24,Balenciaga,pussy-bow satin-jacquard blouse,895,15-Dec-2020,full/9259d809dcae09006bdfe9033a1c1e091c8218f4.jpg,blouse,satin-jacquard,,,pussy-bow
25,Balenciaga,pussy-bow satin-jacquard blouse,895,15-Dec-2020,full/d7be7dbea74c8ebda432ee4247e7b5fa0142838c.jpg,blouse,satin-jacquard,,,pussy-bow
26,Balenciaga,intarsia wool-blend beanie,195,15-Dec-2020,full/648260ccb88c0bd8cb0127e37eb395096759c698.jpg,beanie,wool-blend,,,
27,Balenciaga,intarsia wool-blend beanie,195,15-Dec-2020,full/e7b94cec4b59f32433d6ec62687a2a30de93627f.jpg,beanie,wool-blend,,,
28,Balenciaga,oversized quilted shell jacket,1775,15-Dec-2020,full/5a3d2b6f627be86463ed8b87277dfdb7fe8ac82d.jpg,jacket,shell,,oversized,
29,Balenciaga,oversized quilted shell jacket,1775,15-Dec-2020,full/cd317b14883065925d91ab6c94334f84395d3891.jpg,jacket,shell,,oversized,
30,The Row,fairy grosgrain and suede-trimmed cashmere slippers,710,15-Dec-2020,full/e314c393ec77643054578bf5499a3db3550f5285.jpg,slippers,suede,,,
31,The Row,fairy grosgrain and suede-trimmed cashmere slippers,710,15-Dec-2020,full/33d2bfc8ae902320873f3b248dc4bb2c08817b24.jpg,slippers,suede,,,
32,The Row,fairy grosgrain and suede-trimmed shearling slippers,850,15-Dec-2020,full/2c977e93d3fc555df5ac8b0b8cac94b330b156ca.jpg,slippers,suede,,,
33,The Row,fairy grosgrain and suede-trimmed shearling slippers,850,15-Dec-2020,full/5d7be0987c8aea995c659ef73e65fa4aff07579d.jpg,slippers,suede,,,
34,The Row,fairy grosgrain and suede-trimmed cashmere slippers,710,15-Dec-2020,full/506f366e83c769532b1c8715d59040114b8b1742.jpg,slippers,suede,,,
35,The Row,fairy grosgrain and suede-trimmed cashmere slippers,710,15-Dec-2020,full/ee2b56252f28751c3b93cbf7624bc89c7566c77d.jpg,slippers,suede,,,
36,Gucci,oversized appliquéd webbing-trimmed cotton-jersey hoodie,865,15-Dec-2020,full/59952ea82ac482a4a0e51d4395026baabad8e293.jpg,cotton-jersey,cotton,,oversized,
37,Gucci,oversized appliquéd webbing-trimmed cotton-jersey hoodie,865,15-Dec-2020,full/5418cf1d73c3d2705280513bf14b18332311d07e.jpg,cotton-jersey,cotton,,oversized,
38,NET-A-PORTER,printed recycled silk-crepe face mask,40,15-Dec-2020,full/1cd2cd4040a1ff2e8c893fd7c77a5c3931704de7.jpg,,silk-crepe,printed,,
39,NET-A-PORTER,printed recycled silk-crepe face mask,40,15-Dec-2020,full/98484b91c7cd398ab24604842aaae74f2c7970ca.jpg,,silk-crepe,printed,,
40,Balenciaga,crepe track pants,950,15-Dec-2020,full/80bc12bf87b88aee8bea9c9a16c107d9d7f6f68c.jpg,pants,crepe,,,
41,Balenciaga,crepe track pants,950,15-Dec-2020,full/1c00ab18a9199de13143ada893f82f5f6f45ce35.jpg,pants,crepe,,,
42,The Row,les bains mini leather tote,1250,15-Dec-2020,full/a08f73ff3b7fb139f5ccaf8ac15ed04b21428bae.jpg,tote,leather,,mini,
43,The Row,les bains mini leather tote,1250,15-Dec-2020,full/32f122db4a6e2c01e5690ef6eba27a1edf0cf507.jpg,tote,leather,,mini,
44,Alex Perry,slaine strapless satin-crepe jumpsuit,1800,15-Dec-2020,full/00ac4c77317892d435ef42fd3deaa021be8a5484.jpg,jumpsuit,satin,,,
