,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Gucci,+ ken scott jenni appliquéd floral-print velvet blazer ,2650,18-Dec-2020,full/314ac3af0fe7021cdcb3b7c063ac546df12bb9ae.jpg,blazer,velvet,floral-print,,
1,Gucci,+ ken scott jenni appliquéd floral-print velvet blazer ,2650,18-Dec-2020,full/ebccad6ac179deb8b431d4ef72a0210b9db323ee.jpg,blazer,velvet,floral-print,,
2,Irene Neuwirth,"true love 18-karat yellow and white gold, tourmaline and diamond earrings",7710,18-Dec-2020,full/3436ca69fcb2248ab00b73bb92ffacb2e94b52c2.jpg,ring,,,,
3,Irene Neuwirth,"true love 18-karat yellow and white gold, tourmaline and diamond earrings",7710,18-Dec-2020,full/7234a0131f89cf104bb8334928949485e7d675b4.jpg,ring,,,,
4,Gucci,appliquéd high-rise flared jeans,620,18-Dec-2020,full/d57a74145f947e06f66c8b7136e5cee3b0bec310.jpg,jeans,,,high-rise,
5,Gucci,appliquéd high-rise flared jeans,620,18-Dec-2020,full/f91df13ca9c070944d5beb34f04999b0908700d6.jpg,jeans,,,high-rise,
6,Carolina Bucci,k.i.s.s. small 18-karat rose gold bracelet ,4850,18-Dec-2020,full/459b507ec07442fc0e01785aab296472078c459a.jpg,bracelet,,,,
7,Carolina Bucci,k.i.s.s. small 18-karat rose gold bracelet ,4850,18-Dec-2020,full/8f20bcad19bde7f8ea46a4f173825d74a3ca249f.jpg,bracelet,,,,
8,Loewe,leather-trimmed belted metallic wool-blend twill midi dress,1100,18-Dec-2020,full/ae13b23d1963bf4cc48d56b425acfc477a7b0fed.jpg,belt,leather-trimmed,twill,midi,metallic
9,Loewe,leather-trimmed belted metallic wool-blend twill midi dress,1100,18-Dec-2020,full/988b894c8eb2c0c53a555f267912f3332c1ed169.jpg,belt,leather-trimmed,twill,midi,metallic
10,JW Anderson,chain-embellished leather slippers,495,18-Dec-2020,full/61e4cb928c86e91cfba1b406006afaa931ff299b.jpg,chain,leather,,,embellished
11,JW Anderson,chain-embellished leather slippers,495,18-Dec-2020,full/d5c80c76830367c0b10ea95108129ed0c9fd8da8.jpg,chain,leather,,,embellished
12,Gucci,embroidered wool-blend turtleneck sweater,670,18-Dec-2020,full/662fd699fe3470b84bd8c663d197297118ecef90.jpg,sweater,wool-blend,,,turtleneck
13,Gucci,embroidered wool-blend turtleneck sweater,670,18-Dec-2020,full/fd10005863717928b33edef65a3f9e8c13849ed1.jpg,sweater,wool-blend,,,turtleneck
14,Christian Louboutin,eloise 100 suede knee boots,1245,18-Dec-2020,full/9d9d0d51f7df2d9d91c706dc0963f7f5006455fb.jpg,boots,suede,,,
15,Christian Louboutin,eloise 100 suede knee boots,1245,18-Dec-2020,full/522b5244fb0a445c02533fc47582f729ff1919b2.jpg,boots,suede,,,
16,Burberry,ayla argyle wool and cashmere-blend skirt,590,18-Dec-2020,full/ae4d7854f7d1f230f82a17a9fbe785370185a4fd.jpg,skirt,cashmere-blend,,,
17,Burberry,ayla argyle wool and cashmere-blend skirt,590,18-Dec-2020,full/3997228febe65721ef142f80b81b9927997a510e.jpg,skirt,cashmere-blend,,,
18,Alaïa,laser-cut leather clutch,1370,18-Dec-2020,full/c215f68815f40aab27fc2ac93128b2ce5d28bd06.jpg,,leather,,,
19,Alaïa,laser-cut leather clutch,1370,18-Dec-2020,full/59ee63f912a82c4ec113898430ae5c56c169d321.jpg,,leather,,,
20,Balmain,off-the-shoulder two-tone crepe mini dress,1650,18-Dec-2020,full/ed16208059d7e70b97c8121d6baae0b7dd1d606a.jpg,dress,crepe,two-tone,off-the-shoulder,
21,Balmain,off-the-shoulder two-tone crepe mini dress,1650,18-Dec-2020,full/50744ba5863756670ea4547aace9dc7fdc34f05b.jpg,dress,crepe,two-tone,off-the-shoulder,
22,Amina Muaddi,rosie crystal-embellished bow-detailed pvc slingback pumps,750,18-Dec-2020,full/be79aba52183cd8aac43cc293c654108606d4299.jpg,pumps,,,,crystal-embellished
23,Amina Muaddi,rosie crystal-embellished bow-detailed pvc slingback pumps,750,18-Dec-2020,full/0564ec448aba493a4cbfa8c16094fc7e1159ba0a.jpg,pumps,,,,crystal-embellished
24,Isabel Marant,pauline cropped acid-wash denim jacket,455,18-Dec-2020,full/6b74c0912e5d79f30203f963846083e7ba652146.jpg,jacket,denim,,,cropped
25,Isabel Marant,pauline cropped acid-wash denim jacket,455,18-Dec-2020,full/23f3aba542e177be6f03a5d4c6ccae8c97ca70e7.jpg,jacket,denim,,,cropped
26,Anita Ko,"18-karat gold, emerald and diamond earring",4120,18-Dec-2020,full/b67fd1ae80830bcf98853c1c1300d909e3ba8fca.jpg,ring,,,,
27,Anita Ko,"18-karat gold, emerald and diamond earring",4120,18-Dec-2020,full/9fcbc6ebc62b1239b230ede814339d6ee22ede43.jpg,ring,,,,
28,WARDROBE.NYC,zip-detailed stretch-jersey leggings,450,18-Dec-2020,full/0bc95be8ccb13e470976c77b6fcf3d31fda8b91b.jpg,leggings,,,,stretch-jersey
29,WARDROBE.NYC,zip-detailed stretch-jersey leggings,450,18-Dec-2020,full/73afb26265815332804d6e188c5abf1900e7450f.jpg,leggings,,,,stretch-jersey
30,Anita Ko,wave 18-karat gold diamond ear cuff,3605,18-Dec-2020,full/fdaedc93fef584b41b0ac050e6b9b4912195598d.jpg,,,,,
31,Anita Ko,wave 18-karat gold diamond ear cuff,3605,18-Dec-2020,full/356d6970e078650ca99b5aef46109f99a4508f9a.jpg,,,,,
32,Anita Ko,18-karat white gold diamond earring,5810,18-Dec-2020,full/b37431ba517bbcaefaaee8cd185fdb0ee114be1c.jpg,ring,,,,
33,Anita Ko,18-karat white gold diamond earring,5810,18-Dec-2020,full/a3e710aefa87c9d3d8a72fcd28a4d00617b8c547.jpg,ring,,,,
34,Carolina Bucci,k.i.s.s. small 18-karat gold bracelet ,4850,18-Dec-2020,full/5e556083a2b73d6eceb5ba940aeb42257ba93869.jpg,bracelet,,,,
35,Carolina Bucci,k.i.s.s. small 18-karat gold bracelet ,4850,18-Dec-2020,full/d0cd647e7374b71d11459ea325e23e0a1389d4eb.jpg,bracelet,,,,
36,Bottega Veneta,washed cotton-jersey t-shirt ,250,18-Dec-2020,full/c6933e7209fc644eee9af2573daf5339f9c1341a.jpg,cotton-jersey,cotton,,,
37,Bottega Veneta,washed cotton-jersey t-shirt ,250,18-Dec-2020,full/97693fd34733f12d28819f59dcdfb3533d9aa5e5.jpg,cotton-jersey,cotton,,,
38,The Row,everyday textured-leather shoulder bag,2225,18-Dec-2020,full/eedecd7cab758de9a394dfd5367685ecbf120a99.jpg,bag,leather,,,
39,The Row,everyday textured-leather shoulder bag,2225,18-Dec-2020,full/1b14da1dea1be2f924ad955f21875c65e5889258.jpg,bag,leather,,,
40,Bottega Veneta,fringed polka-dot cotton mini skirt,905,18-Dec-2020,full/097d7f265739b889d9940dd3c1e9325f145274b4.jpg,ring,cotton,polka-dot,mini,fringed
41,Bottega Veneta,fringed polka-dot cotton mini skirt,905,18-Dec-2020,full/fac99aeb28a04acc338134aab84aafbc812d31e0.jpg,ring,cotton,polka-dot,mini,fringed
42,Amrapali,"18-karat gold, diamond and emerald ring",7010,18-Dec-2020,full/1d5ac92cf15929c7a4dfe06870308390392f1284.jpg,ring,,,,
43,Amrapali,"18-karat gold, diamond and emerald ring",7010,18-Dec-2020,full/456ae1ef2bd522fd901942116ed858b6d3370bda.jpg,ring,,,,
44,Paco Rabanne,asymmetric gathered floral-print stretch-jersey dress,620,18-Dec-2020,full/7d7ed9fe6716de3c5e14804667671180d75487da.jpg,jersey,,floral-print,,stretch-jersey
45,Paco Rabanne,asymmetric gathered floral-print stretch-jersey dress,620,18-Dec-2020,full/c0a040b9de7651f46259facaea335737ba796dd9.jpg,jersey,,floral-print,,stretch-jersey
46,Amina Muaddi,begum crystal-embellished pvc slingback pumps,750,18-Dec-2020,full/819ba244bde51881278348f96d622235ada1d8e4.jpg,pumps,,,,crystal-embellished
47,Amina Muaddi,begum crystal-embellished pvc slingback pumps,750,18-Dec-2020,full/5eb0189f3d1f3bcf7acf8fffee58760194110275.jpg,pumps,,,,crystal-embellished
48,Zimmermann,lulu belted floral-print linen midi dress,635,18-Dec-2020,full/f0b61a75d2527563f2e2e09a3357599694fad165.jpg,belt,linen,floral-print,midi,belted
49,Zimmermann,lulu belted floral-print linen midi dress,635,18-Dec-2020,full/17cfe809786113f2b86f6cd6876082222ec88cd4.jpg,belt,linen,floral-print,midi,belted
50,Gucci,1955 horsebit mini leather-trimmed printed coated-canvas tote,1400,18-Dec-2020,full/d7ab200b6e3d02dbd33c6d8de0f740da5455e6af.jpg,tote,leather-trimmed,printed,mini,
51,Gucci,1955 horsebit mini leather-trimmed printed coated-canvas tote,1400,18-Dec-2020,full/727bf1c7419641e30860ff3eccf4e9f52fcc0b44.jpg,tote,leather-trimmed,printed,mini,
52,Zimmermann,brighton paneled cotton-blend lace midi dress,685,18-Dec-2020,full/9f49c5cd089d1fed85b673b63db26ed5f86214d9.jpg,dress,lace,,midi,paneled
53,Zimmermann,brighton paneled cotton-blend lace midi dress,685,18-Dec-2020,full/639329619e5478f9c3598ab3438f961c76a40817.jpg,dress,lace,,midi,paneled
54,JIA JIA,celestine geode,335,18-Dec-2020,full/bb93843df3ffbe1847a397c1ac0667e4ee9a7438.jpg,,,,,
55,JIA JIA,celestine geode,335,18-Dec-2020,full/b680d89a38c11564e6d3be9c97be93109ec0822b.jpg,,,,,
56,Stella McCartney,kind intarsia wool and cotton-blend sweater,925,18-Dec-2020,full/db94025f64c9c54baad07ddd2f3dfd04e10a2cf2.jpg,sweater,cotton-blend,,,
57,Stella McCartney,kind intarsia wool and cotton-blend sweater,925,18-Dec-2020,full/39f442295597a5eafbadfd5c1aedc3561f968042.jpg,sweater,cotton-blend,,,
