,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Amina Muaddi,+ awge phoenix crystal-embellished bow-detailed pvc slingback pumps,980,12-Dec-2020,full/5eb094912243c8efab708213323b6858722cd7bd.jpg,pumps,,,,crystal-embellished
1,Amina Muaddi,+ awge phoenix crystal-embellished bow-detailed pvc slingback pumps,980,12-Dec-2020,full/fd1f4279460f2231edd472dea4ac5899880e42c4.jpg,pumps,,,,crystal-embellished
2,Amina Muaddi,+ awge gladi crystal-embellished satin thigh-high sandals,1350,12-Dec-2020,full/05019ab877da8804e5024e871392f5900fbac36c.jpg,sandals,satin,,,crystal-embellished
3,Amina Muaddi,+ awge gladi crystal-embellished satin thigh-high sandals,1350,12-Dec-2020,full/d4c3b13f4415557acb9b0e5b22155df8f96b8467.jpg,sandals,satin,,,crystal-embellished
4,Amina Muaddi,+ awge phoenix crystal-embellished bow-detailed pvc slingback pumps,980,12-Dec-2020,full/ef5445151944b63e94fff3076de72ba10371e69d.jpg,pumps,,,,crystal-embellished
5,Amina Muaddi,+ awge phoenix crystal-embellished bow-detailed pvc slingback pumps,980,12-Dec-2020,full/5c6824be5dc8a383d3dc0979510ae70b91bae364.jpg,pumps,,,,crystal-embellished
6,Amina Muaddi,+ awge flacko chain-embellished leather sandals,1125,12-Dec-2020,full/b8b48d858c3dffdcb3d832da10344824dbdf15e4.jpg,chain,leather,,,embellished
7,Amina Muaddi,+ awge flacko chain-embellished leather sandals,1125,12-Dec-2020,full/e23fe0cf4e1f8517356c1e96759dd16bfb0a6200.jpg,chain,leather,,,embellished
8,Amina Muaddi,+ awge gladi crystal-embellished satin sandals,1080,12-Dec-2020,full/86fddb17ed5571d23261467e4fb76bc39d10d03c.jpg,sandals,satin,,,crystal-embellished
9,Amina Muaddi,+ awge gladi crystal-embellished satin sandals,1080,12-Dec-2020,full/501e9d63b1bd8da5538abdc6c379b475cb5f948a.jpg,sandals,satin,,,crystal-embellished
10,Amina Muaddi,+ awge flacko chain-embellished patent-leather sandals ,1125,12-Dec-2020,full/a0bee4288fab113ce46dc181e64374a1a3039cf8.jpg,chain,leather,,,embellished
11,Amina Muaddi,+ awge flacko chain-embellished patent-leather sandals ,1125,12-Dec-2020,full/d7962da562581f0319bd156fe1e1f99e510a43eb.jpg,chain,leather,,,embellished
12,Amina Muaddi,+ awge gladi crystal-embellished satin sandals,1100,12-Dec-2020,full/c21a33a686523a66c4811506317dfaac4070922e.jpg,sandals,satin,,,crystal-embellished
13,Amina Muaddi,+ awge gladi crystal-embellished satin sandals,1100,12-Dec-2020,full/555ccb74170fbcf772ed95f32d6d46f753d9db65.jpg,sandals,satin,,,crystal-embellished
14,Gucci,1955 small horsebit-detailed leather-trimmed printed coated-canvas shoulder bag,970,12-Dec-2020,full/f869ae0c53f876bae0d535eee5b9abfb39072346.jpg,coat,leather-trimmed,printed,,
15,Gucci,1955 small horsebit-detailed leather-trimmed printed coated-canvas shoulder bag,970,12-Dec-2020,full/62bc0853166bbb23d792f815fd5d195d8ee92052.jpg,coat,leather-trimmed,printed,,
16,Balmain,belted woven trench coat,1950,12-Dec-2020,full/d3294cc7bbac1e20de028a852dd914eb54a5d765.jpg,coat,,woven,,belted
17,Balmain,belted woven trench coat,1950,12-Dec-2020,full/ce9149977a807ae58dee0a7d7e66a2cfce6f3ff5.jpg,coat,,woven,,belted
18,Totême,belted brushed-alpaca coat ,1050,12-Dec-2020,full/9f930f77fbcf9722e8c0a77f928cd101f0d78474.jpg,coat,,,,belted
19,Totême,belted brushed-alpaca coat ,1050,12-Dec-2020,full/d7793e4dca3ba2e7bf8d86c951b9258bd27e0497.jpg,coat,,,,belted
20,Stella McCartney,loop logo-print neoprene and faux suede sneakers,360,12-Dec-2020,full/11e544ce4ab9dde58a0a94decf8993b0a7dc098b.jpg,sneakers,suede,,,logo
21,Stella McCartney,loop logo-print neoprene and faux suede sneakers,360,12-Dec-2020,full/dec5619e9e559feef4d919cb8c127c15993cc50a.jpg,sneakers,suede,,,logo
22,Joseph,coleman leather slim-leg pants ,895,12-Dec-2020,full/0eb7c0f4ce758a417d5a197a2a823257e5322d65.jpg,pants,leather,,,
23,Joseph,coleman leather slim-leg pants ,895,12-Dec-2020,full/c1e07758d32b3d9cf6184e8fdd9f274cd4ddc483.jpg,pants,leather,,,
24,Completedworks,speaking to the penguins gold vermeil pearl ring,325,12-Dec-2020,full/d3ae37f45638ade6aec425ff1ad5fdc4a82b1917.jpg,ring,,,,
25,Completedworks,speaking to the penguins gold vermeil pearl ring,325,12-Dec-2020,full/d69286211344f73fa9320206af3e538a159d5eae.jpg,ring,,,,
26,Balenciaga,oversized printed crepe shirt ,795,12-Dec-2020,full/090554ee7ef71ce698533ecfe2f589f22f2eb6f2.jpg,shirt,crepe,printed,oversized,
27,Balenciaga,oversized printed crepe shirt ,795,12-Dec-2020,full/4d3519b5c143c01c9503027b18b2686b74695a96.jpg,shirt,crepe,printed,oversized,
28,Chloé,c mini croc-effect leather shoulder bag,1220,12-Dec-2020,full/37585796e9efcd833e7aa1e6adfbc079f74756a8.jpg,bag,leather,,mini,
29,Chloé,c mini croc-effect leather shoulder bag,1220,12-Dec-2020,full/1648d5d792be85f81a2563ca02323bec9f74c1b4.jpg,bag,leather,,mini,
30,Alexander McQueen,oversized denim jacket ,870,12-Dec-2020,full/f4bb41c87d503f527eee23f447337af41482b0a2.jpg,jacket,denim,,oversized,
31,Alexander McQueen,oversized denim jacket ,870,12-Dec-2020,full/620d7bf7430105fd4020d07ad12281d437fe25f7.jpg,jacket,denim,,oversized,
32,Gucci,gg marmont mini quilted leather shoulder bag,1420,12-Dec-2020,full/43eb1fdf7d4246d72ff72960e5c6ba940c0c2cd8.jpg,bag,leather,,mini,
33,Gucci,gg marmont mini quilted leather shoulder bag,1420,12-Dec-2020,full/5eb5c4590160f3ae79590795e029538adfada72c.jpg,bag,leather,,mini,
34,Alexander McQueen,frayed denim midi skirt,690,12-Dec-2020,full/09a6c3b3cf29013d8f1edfe191b8f44c979cc49a.jpg,skirt,denim,,midi,frayed
35,Alexander McQueen,frayed denim midi skirt,690,12-Dec-2020,full/94ba72dc5d00cab2a1a892d66a51e7ea7259c93d.jpg,skirt,denim,,midi,frayed
36,BY FAR,amber glossed croc-effect leather shoulder bag,515,12-Dec-2020,full/82450c3f562f9c81e8a9fa7e1c029f41ea52d379.jpg,bag,leather,,,
37,BY FAR,amber glossed croc-effect leather shoulder bag,515,12-Dec-2020,full/ec113a2c4f35e8ca5ac318d8613703b1403efde4.jpg,bag,leather,,,
38,Dolce & Gabbana,belted leather trench coat,4700,12-Dec-2020,full/e01aa96025b2a16857945a6c387497d789e21f18.jpg,coat,leather,,,belted
39,Dolce & Gabbana,belted leather trench coat,4700,12-Dec-2020,full/1ac8c77ec55475d1399df191d3f729f47392711f.jpg,coat,leather,,,belted
40,Wandler,lesly leather knee boots,660,12-Dec-2020,full/cc087b675d4f79e111d695a21af388859a1fe4c1.jpg,boots,leather,,,
41,Wandler,lesly leather knee boots,660,12-Dec-2020,full/4b13dd15a1c87d742525e02f444f9a54e03b99d7.jpg,boots,leather,,,
42,Dolce & Gabbana,topstitched leather blazer,4250,12-Dec-2020,full/288c516e7940d0efdd0cbce7a5124adaf2841fde.jpg,blazer,leather,,,
43,Dolce & Gabbana,topstitched leather blazer,4250,12-Dec-2020,full/d7dc4f1dacbe5efaeaf5be44b7e1c9d55be16eb9.jpg,blazer,leather,,,
44,Isabel Marant,lacco leather-trimmed suede ankle boots,680,12-Dec-2020,full/b28040fc19cb5dce6d64b196fa8be6d23b8c7081.jpg,boots,leather-trimmed,,,
45,Isabel Marant,lacco leather-trimmed suede ankle boots,680,12-Dec-2020,full/fd0e4808f6da6ffb0943e687a387a4a0e0959edb.jpg,boots,leather-trimmed,,,
46,Dolce & Gabbana,ruched leather mini skirt ,1500,12-Dec-2020,full/fe78f4b807a09066d6e83d5415b8cfcdb532ea74.jpg,skirt,leather,,mini,ruched
47,Dolce & Gabbana,ruched leather mini skirt ,1500,12-Dec-2020,full/2f7983c2e97980d74cafa6e443d03276f6f8025e.jpg,skirt,leather,,mini,ruched
48,Loewe,puzzle small two-tone leather shoulder bag,2300,12-Dec-2020,full/74cf7662f5268e26fbd7affb9757a7c7d8086d4b.jpg,bag,leather,two-tone,,
49,Loewe,puzzle small two-tone leather shoulder bag,2300,12-Dec-2020,full/31059d7364598eaccf2abdb10b9541b4e6f293be.jpg,bag,leather,two-tone,,
