,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Pomellato,"m'ama non m'ama 18-karat rose gold, moonstone and diamond hoop earrings",3270,05-Jan-2021,full/56d9cd94e7f619c1ca2fbfc2a31a3c209cb39f04.jpg,ring,,,,
1,Pomellato,"m'ama non m'ama 18-karat rose gold, moonstone and diamond hoop earrings",3270,05-Jan-2021,full/688b124ac9f54ffb1d897ad4769b78d6a20d264f.jpg,ring,,,,
2,Max Mara,the cube oversized belted padded shell coat,690,05-Jan-2021,full/f2c2cf2bc3266b97f4128b10c221e1ca3cab8f5c.jpg,coat,shell,,oversized,belted
3,Max Mara,the cube oversized belted padded shell coat,690,05-Jan-2021,full/6cdf40ba56972a5e634369e29218269b845a6f7b.jpg,coat,shell,,oversized,belted
4,Chloé,goldee leather ankle boots,745,05-Jan-2021,full/cabf9afa45a53d773910062226d6ea7acf0d0d96.jpg,boots,leather,,,
5,Chloé,goldee leather ankle boots,745,05-Jan-2021,full/ef8a317c8373b092257911b3e28546b1dd461119.jpg,boots,leather,,,
6,JW Anderson,paneled cotton-terry and jersey hoodie,230,05-Jan-2021,full/685b4a84e926f4bb2d8a118562e1666a44496114.jpg,jersey,cotton,,,paneled
7,JW Anderson,paneled cotton-terry and jersey hoodie,230,05-Jan-2021,full/5ea425806f0f65ffcafc2faecac6c57b1ed9c3dc.jpg,jersey,cotton,,,paneled
8,JW Anderson,floral-print yoga mat and leather-trimmed canvas bag,385,05-Jan-2021,full/232b888372ea6a1022e2ab5544c12cf799990af1.jpg,bag,leather-trimmed,floral-print,,
9,JW Anderson,floral-print yoga mat and leather-trimmed canvas bag,385,05-Jan-2021,full/4422d4abcdfa1416ab00a856ae9af466951d079e.jpg,bag,leather-trimmed,floral-print,,
10,JW Anderson,paneled cotton-jersey track pants,265,05-Jan-2021,full/309fbc31078933bceb92d699d879f24894626f17.jpg,cotton-jersey,cotton,,,paneled
11,JW Anderson,paneled cotton-jersey track pants,265,05-Jan-2021,full/b3495b03966b5eac7f8d2fcd342fb340bdfc0ddb.jpg,cotton-jersey,cotton,,,paneled
12,Loewe,ribbed wool beanie,75,05-Jan-2021,full/67b497fc191c46ae3875f97d9b215bf6a2d38c4c.jpg,beanie,wool,,,ribbed
13,Loewe,ribbed wool beanie,75,05-Jan-2021,full/d7ef2162e7966e66f09ea1edc782c04fc5e86fd9.jpg,beanie,wool,,,ribbed
14,JW Anderson,hooded jersey and shell-trimmed cotton-blend canvas jacket,1250,05-Jan-2021,full/76beb3270647d58d8dff97b79a76171d60ae6928.jpg,hooded,shell,,,
15,JW Anderson,hooded jersey and shell-trimmed cotton-blend canvas jacket,1250,05-Jan-2021,full/1d05aade0d07c1311ca2958c53bac15554fd9d86.jpg,hooded,shell,,,
16,Converse,+ ambush ctas duck leather-trimmed canvas ankle boots,140,05-Jan-2021,full/2f8e8cebc15bb89c91577ed81e077c012ef37518.jpg,boots,leather-trimmed,,,
17,Converse,+ ambush ctas duck leather-trimmed canvas ankle boots,140,05-Jan-2021,full/e08a027b4591ec514b8625a74792e4d552b61e6b.jpg,boots,leather-trimmed,,,
18,Christopher Kane,cutout crystal-embellished wool cardigan,1145,05-Jan-2021,full/56270c5a362509081e9d7643b2c3a3a416705482.jpg,cardigan,wool,,,crystal-embellished
19,Christopher Kane,cutout crystal-embellished wool cardigan,1145,05-Jan-2021,full/624da67e64b6d80af7ab4dbaf8a56c44024e208c.jpg,cardigan,wool,,,crystal-embellished
