,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Christopher Kane,crystal-embellished ribbed merino wool turtleneck sweater,695,03-Dec-2020,full/c4f707951184dfeab768affbf8c1c86d22b8bc73.jpg,sweater,merino,,,crystal-embellished
1,Christopher Kane,crystal-embellished ribbed merino wool turtleneck sweater,695,03-Dec-2020,full/f961fbe8fab298ab04c749fe9688a116719ddd3c.jpg,sweater,merino,,,crystal-embellished
2,Amina Muaddi,pernille super mini crystal-embellished suede tote ,750,03-Dec-2020,full/72217af03a0aa9848b386e821635d0bfd0ad88bb.jpg,tote,suede,,mini,crystal-embellished
3,Amina Muaddi,pernille super mini crystal-embellished suede tote ,750,03-Dec-2020,full/689ce4ddb5f920f1499a9801130cf0d667f19b88.jpg,tote,suede,,mini,crystal-embellished
4,Joseph,swinton asymmetric pleated crepe midi skirt,325,03-Dec-2020,full/3c436b573fe3cbac1efad3f5db4b1492cef5d680.jpg,skirt,crepe,,midi,pleated
5,Joseph,swinton asymmetric pleated crepe midi skirt,325,03-Dec-2020,full/9b8b0854466ecc5fee6671ec1f12215eafec8ca4.jpg,skirt,crepe,,midi,pleated
6,Gucci,18-karat white gold multi-stone earring,4060,03-Dec-2020,full/45d862be31c9e462214160809ca36e0d630f2779.jpg,ring,,,,
7,Gucci,18-karat white gold multi-stone earring,4060,03-Dec-2020,full/1140bfc62eb76864e92a0d8ba7b1d2e3e3867597.jpg,ring,,,,
8,ROTATE Birger Christensen,sierra ruched sequined stretch-knit midi dress,340,03-Dec-2020,full/cb12e648b8ed1c7429b85244c7f55df8a445e993.jpg,dress,stretch-knit,,midi,ruched
9,ROTATE Birger Christensen,sierra ruched sequined stretch-knit midi dress,340,03-Dec-2020,full/66f84082cc5e59317fbc39d9325c3d40bfa9c549.jpg,dress,stretch-knit,,midi,ruched
10,Gucci,"18-karat white gold, diamond and aquamarine ring",5470,03-Dec-2020,full/8266b911bd664b3bc866365e8a326bf46dace9bf.jpg,ring,,,,
11,Gucci,"18-karat white gold, diamond and aquamarine ring",5470,03-Dec-2020,full/5042831e65d91ed729e3cc2f097980f2ec7c73ec.jpg,ring,,,,
12,Johanna Ortiz,+net sustain pima cotton and alpaca-blend bodysuit and cardigan set,795,03-Dec-2020,full/730fc0dd9d8ebd4ce52811180f0815723918c44d.jpg,suit,cotton,,,
13,Johanna Ortiz,+net sustain pima cotton and alpaca-blend bodysuit and cardigan set,795,03-Dec-2020,full/97708f3f32fdab54f67231c73bd9e12b708fbfb3.jpg,suit,cotton,,,
14,Gucci,"18-karat gold, chrome diopside and diamond ring",2300,03-Dec-2020,full/210325e9c80fa3907c00668751bbda02e30442f0.jpg,ring,,,,
15,Gucci,"18-karat gold, chrome diopside and diamond ring",2300,03-Dec-2020,full/ec3eff6edc766ceff7a6c1544105fadb592b949b.jpg,ring,,,,
16,palmer//harding,leuca fluted snake-effect faux leather midi skirt,445,03-Dec-2020,full/23da0202cea302fbdf8b96df10d2bf8d14457882.jpg,skirt,leather,,midi,
17,palmer//harding,leuca fluted snake-effect faux leather midi skirt,445,03-Dec-2020,full/d63f8a4f1e89831ca042e44e2217f0a14f6eed8a.jpg,skirt,leather,,midi,
