,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Bottega Veneta,wool and cashmere-blend coat,2370,02-Jan-2021,full/682cef34c8b86ebbb85688f000a0823a8f0b31d3.jpg,coat,cashmere-blend,,,
1,Bottega Veneta,wool and cashmere-blend coat,2370,02-Jan-2021,full/36746c9c0cfb95f8994e98ddd4d43cc1b14c404c.jpg,coat,cashmere-blend,,,
2,Bottega Veneta,the bounce leather ankle boots,750,02-Jan-2021,full/49bbfe8db4d8582e9623b7da666e9a70466c1450.jpg,boots,leather,,,
3,Bottega Veneta,the bounce leather ankle boots,750,02-Jan-2021,full/4a2f7a1edcec556ca17f6e36a311f4c99d393b0e.jpg,boots,leather,,,
4,Balmain,cropped cutout ribbed-knit halterneck top,595,02-Jan-2021,full/64a810de90377ef96862c731cef0ffab1a87ba68.jpg,top,,,,cropped
5,Balmain,cropped cutout ribbed-knit halterneck top,595,02-Jan-2021,full/cbe7a1c2d6e2b0c0288ca23b54c7704a706389f1.jpg,top,,,,cropped
6,Bottega Veneta,the pouch small intrecciato leather clutch,1280,02-Jan-2021,full/07002fb23375cd2397920e4c3e0b7544c5d737fa.jpg,,leather,,,
7,Bottega Veneta,the pouch small intrecciato leather clutch,1280,02-Jan-2021,full/5ed63bc75262af1f3ec55c4afa71ad0065f689f3.jpg,,leather,,,
8,Salvatore Ferragamo,paneled leather and suede midi skirt,2215,02-Jan-2021,full/ca2872b5ed95bc289aa69c172d5d7300dfb441d8.jpg,skirt,suede,,midi,paneled
9,Salvatore Ferragamo,paneled leather and suede midi skirt,2215,02-Jan-2021,full/6fd665e6f7b244abe0e6bfc52a89ad92f402904f.jpg,skirt,suede,,midi,paneled
10,Balenciaga,hourglass small leather tote,1360,02-Jan-2021,full/5ab0936a94c956a30a0b26dec7d2fa29e68d4e91.jpg,tote,leather,,,
11,Balenciaga,hourglass small leather tote,1360,02-Jan-2021,full/9cc0358f28ee79c4abc8eeab354c095b5c5d4045.jpg,tote,leather,,,
12,Fendi,embossed metallic jersey hoodie,980,02-Jan-2021,full/f03883d93aa1e4d76f323bc81f3a762e5a75a271.jpg,jersey,,,,metallic
13,Fendi,embossed metallic jersey hoodie,980,02-Jan-2021,full/d37c79b38d8b0b0b7535c10f186cf5f930147490.jpg,jersey,,,,metallic
14,Balenciaga,track logo-detailed mesh and rubber sneakers,695,02-Jan-2021,full/a57981648cda9aad0640deddbaa419faef67df60.jpg,sneakers,,,,logo
15,Balenciaga,track logo-detailed mesh and rubber sneakers,695,02-Jan-2021,full/f8fdca13b21a897b2fff7e412d362905edae01c4.jpg,sneakers,,,,logo
16,Gucci,appliquéd webbing-trimmed cotton-jersey hoodie,865,02-Jan-2021,full/5fb5ac53a1a6ad3e523ba64e58f0b6ac2b599ddc.jpg,cotton-jersey,cotton,,,
17,Gucci,appliquéd webbing-trimmed cotton-jersey hoodie,865,02-Jan-2021,full/5023f550c84af50314bfcc7eb1faa97111150fa8.jpg,cotton-jersey,cotton,,,
18,SAINT LAURENT,court classic logo-embroidered leather sneakers,440,02-Jan-2021,full/d0624a1066f25e1738895dfbd180b1b51420746d.jpg,sneakers,leather,,,embroidered
19,SAINT LAURENT,court classic logo-embroidered leather sneakers,440,02-Jan-2021,full/019b6c0b9fb378574610b61652f578cbf2dc2f90.jpg,sneakers,leather,,,embroidered
20,GRLFRND,devon high-rise straight-leg jeans,235,02-Jan-2021,full/63aa4ed7bfffb0c0a65b0da8273451f2ad7cbc84.jpg,jeans,,,high-rise,
21,GRLFRND,devon high-rise straight-leg jeans,235,02-Jan-2021,full/3ee6765e3e0225e3f10cad5d882491df9c92052c.jpg,jeans,,,high-rise,
22,Bottega Veneta,jodie mini knotted intrecciato leather tote,1330,02-Jan-2021,full/e2d91f8e6f4591636d3281921bd48e1dbb276026.jpg,tote,leather,,mini,
23,Bottega Veneta,jodie mini knotted intrecciato leather tote,1330,02-Jan-2021,full/bd4145d14570d665b11b0aa1698e508aa81ee34f.jpg,tote,leather,,mini,
24,Valentino,leather-trimmed wool and cashmere-blend wrap coat,3700,02-Jan-2021,full/ce45dcee18681543461ecc9fe37dd0baf7b97532.jpg,coat,cashmere-blend,,,wrap
25,Valentino,leather-trimmed wool and cashmere-blend wrap coat,3700,02-Jan-2021,full/5064c14437ae956f7eaed8808ebe17d8122d17e6.jpg,coat,cashmere-blend,,,wrap
26,Diane Kordas,"rainbow 18-karat rose gold, sapphire and amethyst earrings",3210,02-Jan-2021,full/1d2b3b5aa7226dfd9e4104e59d057ec9e11a6320.jpg,ring,,,,
27,Diane Kordas,"rainbow 18-karat rose gold, sapphire and amethyst earrings",3210,02-Jan-2021,full/369c50511e02af66c1dfce49dcdae9d65caf768c.jpg,ring,,,,
28,Balmain,button-embellished satin-trimmed crepe blazer,2895,02-Jan-2021,full/a463c719cfb6a189e6699dcb892cd57265e59b4b.jpg,blazer,satin,,,embellished
