,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Bottega Veneta,jodie mini knotted intrecciato leather tote,1330,30-Dec-2020,full/e2d91f8e6f4591636d3281921bd48e1dbb276026.jpg,tote,leather,,mini,
1,Bottega Veneta,jodie mini knotted intrecciato leather tote,1330,30-Dec-2020,full/bd4145d14570d665b11b0aa1698e508aa81ee34f.jpg,tote,leather,,mini,
2,Valentino,leather-trimmed wool and cashmere-blend wrap coat,3700,30-Dec-2020,full/ce45dcee18681543461ecc9fe37dd0baf7b97532.jpg,coat,cashmere-blend,,,wrap
3,Valentino,leather-trimmed wool and cashmere-blend wrap coat,3700,30-Dec-2020,full/5064c14437ae956f7eaed8808ebe17d8122d17e6.jpg,coat,cashmere-blend,,,wrap
4,Balmain,button-embellished satin-trimmed crepe blazer,2895,30-Dec-2020,full/a463c719cfb6a189e6699dcb892cd57265e59b4b.jpg,blazer,satin,,,embellished
5,Balmain,button-embellished satin-trimmed crepe blazer,2895,30-Dec-2020,full/82ad8fb946678af5d3cf5e9425306dc9885aa4bc.jpg,blazer,satin,,,embellished
6,Bottega Veneta,the chain pouch gathered leather belt bag,1605,30-Dec-2020,full/4530039846c6fb36c1c109f6161bc09476196b38.jpg,chain,leather,,,gathered
7,Bottega Veneta,the chain pouch gathered leather belt bag,1605,30-Dec-2020,full/bf34567a10897e6e18eed8eb2f6f7d627d5be53e.jpg,chain,leather,,,gathered
8,The Row,cosso stretch-ponte skinny pants,620,30-Dec-2020,full/013ea44a5944578050fb2b6581381aabb828328b.jpg,pants,,,,
9,The Row,cosso stretch-ponte skinny pants,620,30-Dec-2020,full/4e95d80c162539dfa1f1257aba1a7e6ca1c558f0.jpg,pants,,,,
10,Bottega Veneta,silver and enamel earrings,550,30-Dec-2020,full/6bdf0867b775731af33938edb248d23e9712c015.jpg,ring,,,,
11,Bottega Veneta,silver and enamel earrings,550,30-Dec-2020,full/a9ca81210ed422d9812446838440e2b70c957716.jpg,ring,,,,
12,Valentino,tie-detailed cape-effect silk-cady midi dress,3700,30-Dec-2020,full/4ea74307998ccb5aa7ed29824bfb983bcf940720.jpg,cap,silk,,midi,tie-detailed
13,Valentino,tie-detailed cape-effect silk-cady midi dress,3700,30-Dec-2020,full/bd10138400f7e27f68adc7b9c7632192d353a300.jpg,cap,silk,,midi,tie-detailed
14,Amina Muaddi,gilda crystal-embellished iridescent leather mules,795,30-Dec-2020,full/cb1eaf7648552c66b5492fc89050456de02e2b28.jpg,,leather,,,crystal-embellished
15,Amina Muaddi,gilda crystal-embellished iridescent leather mules,795,30-Dec-2020,full/e22b961cc2b0caf46970059719b2116e618bd44d.jpg,,leather,,,crystal-embellished
16,Gucci,+ disney appliquéd printed cotton-jersey t-shirt,575,30-Dec-2020,full/8bd2a95d7d58dbeab2c70abe82f3b36152a55127.jpg,cotton-jersey,cotton,printed,,
17,Gucci,+ disney appliquéd printed cotton-jersey t-shirt,575,30-Dec-2020,full/75ac0f0e388513e39c3048e7f624eeb6885a7638.jpg,cotton-jersey,cotton,printed,,
18,Balenciaga,neo classic city mini snake-effect leather tote,1600,30-Dec-2020,full/5aa36785f48ebf583fb53219efddb3b344b089b9.jpg,tote,leather,,mini,
19,Balenciaga,neo classic city mini snake-effect leather tote,1600,30-Dec-2020,full/4fb354349ce6559e037db1d87020bd7815c20841.jpg,tote,leather,,mini,
20,JW Anderson,cropped wool-twill wide-leg pants,565,30-Dec-2020,full/00c214a4e8cd6d08eece1bfa045f3616752e5d42.jpg,pants,wool,twill,,cropped
21,JW Anderson,cropped wool-twill wide-leg pants,565,30-Dec-2020,full/309fd94a35bfebdfad6820bed3c976e2073d1542.jpg,pants,wool,twill,,cropped
22,Bottega Veneta,the pouch small intrecciato leather clutch,1280,30-Dec-2020,full/07002fb23375cd2397920e4c3e0b7544c5d737fa.jpg,,leather,,,
23,Bottega Veneta,the pouch small intrecciato leather clutch,1280,30-Dec-2020,full/5ed63bc75262af1f3ec55c4afa71ad0065f689f3.jpg,,leather,,,
24,Bottega Veneta,wool and cashmere-blend coat,2370,30-Dec-2020,full/682cef34c8b86ebbb85688f000a0823a8f0b31d3.jpg,coat,cashmere-blend,,,
25,Bottega Veneta,wool and cashmere-blend coat,2370,30-Dec-2020,full/36746c9c0cfb95f8994e98ddd4d43cc1b14c404c.jpg,coat,cashmere-blend,,,
26,Bottega Veneta,the bounce leather ankle boots,750,30-Dec-2020,full/49bbfe8db4d8582e9623b7da666e9a70466c1450.jpg,boots,leather,,,
27,Bottega Veneta,the bounce leather ankle boots,750,30-Dec-2020,full/4a2f7a1edcec556ca17f6e36a311f4c99d393b0e.jpg,boots,leather,,,
28,Balmain,cropped cutout ribbed-knit halterneck top,595,30-Dec-2020,full/64a810de90377ef96862c731cef0ffab1a87ba68.jpg,top,,,,cropped
29,Balmain,cropped cutout ribbed-knit halterneck top,595,30-Dec-2020,full/cbe7a1c2d6e2b0c0288ca23b54c7704a706389f1.jpg,top,,,,cropped
30,Pomellato,"m'ama non m'ama 18-karat rose gold, topaz and diamond hoop earrings",3270,30-Dec-2020,full/57e576a3223a2a73589444366c9c782d1b28a1d9.jpg,ring,,,,
31,Pomellato,"m'ama non m'ama 18-karat rose gold, topaz and diamond hoop earrings",3270,30-Dec-2020,full/b3bdfd58c0d81000b05ffaced01df7859d9a8a13.jpg,ring,,,,
32,Salvatore Ferragamo,paneled leather and suede midi skirt,2215,30-Dec-2020,full/ca2872b5ed95bc289aa69c172d5d7300dfb441d8.jpg,skirt,suede,,midi,paneled
33,Salvatore Ferragamo,paneled leather and suede midi skirt,2215,30-Dec-2020,full/6fd665e6f7b244abe0e6bfc52a89ad92f402904f.jpg,skirt,suede,,midi,paneled
34,Balenciaga,hourglass small leather tote,1360,30-Dec-2020,full/5ab0936a94c956a30a0b26dec7d2fa29e68d4e91.jpg,tote,leather,,,
35,Balenciaga,hourglass small leather tote,1360,30-Dec-2020,full/9cc0358f28ee79c4abc8eeab354c095b5c5d4045.jpg,tote,leather,,,
36,Fendi,embossed metallic jersey hoodie,980,30-Dec-2020,full/f03883d93aa1e4d76f323bc81f3a762e5a75a271.jpg,jersey,,,,metallic
37,Fendi,embossed metallic jersey hoodie,980,30-Dec-2020,full/d37c79b38d8b0b0b7535c10f186cf5f930147490.jpg,jersey,,,,metallic
38,Balenciaga,track logo-detailed mesh and rubber sneakers,695,30-Dec-2020,full/a57981648cda9aad0640deddbaa419faef67df60.jpg,sneakers,,,,logo
39,Balenciaga,track logo-detailed mesh and rubber sneakers,695,30-Dec-2020,full/f8fdca13b21a897b2fff7e412d362905edae01c4.jpg,sneakers,,,,logo
40,Gucci,appliquéd webbing-trimmed cotton-jersey hoodie,865,30-Dec-2020,full/5fb5ac53a1a6ad3e523ba64e58f0b6ac2b599ddc.jpg,cotton-jersey,cotton,,,
41,Gucci,appliquéd webbing-trimmed cotton-jersey hoodie,865,30-Dec-2020,full/5023f550c84af50314bfcc7eb1faa97111150fa8.jpg,cotton-jersey,cotton,,,
42,SAINT LAURENT,court classic logo-embroidered leather sneakers,440,30-Dec-2020,full/d0624a1066f25e1738895dfbd180b1b51420746d.jpg,sneakers,leather,,,embroidered
