,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Foundrae,mini heart love token 18-karat gold and enamel necklace,1305,27-Dec-2020,full/331be0333e5f02e11a6ecee10ea2fe2e851a971a.jpg,necklace,lace,,mini,
1,Foundrae,mini heart love token 18-karat gold and enamel necklace,1305,27-Dec-2020,full/532a457bf82aab25a213fbad6d74b9baf30ffb28.jpg,necklace,lace,,mini,
2,Chloé,leather-trimmed shearling coat,4740,27-Dec-2020,full/559ff1258f58d394cb7f1453277662df99ddd2f3.jpg,coat,leather-trimmed,,,
3,Chloé,leather-trimmed shearling coat,4740,27-Dec-2020,full/fc90f90628f90499784a003f751eff4550eeeb30.jpg,coat,leather-trimmed,,,
4,Stella McCartney,emilie vegetarian leather platform over-the-knee boots,835,27-Dec-2020,full/08c03e87c5280001514ed923a980b65e36a7e7c1.jpg,boots,leather,,,
5,Stella McCartney,emilie vegetarian leather platform over-the-knee boots,835,27-Dec-2020,full/69752f4c24353b815319582ec0ed6143dd35a4b1.jpg,boots,leather,,,
6,SAINT LAURENT,double-breasted velvet-trimmed checked wool blazer,2195,27-Dec-2020,full/3ee72e9fc3d3fab6c6ab79419966a52a3ce6abcc.jpg,blazer,velvet,checked,,double-breasted
7,SAINT LAURENT,double-breasted velvet-trimmed checked wool blazer,2195,27-Dec-2020,full/634b196e415c885a67626b43235ae841145a4dee.jpg,blazer,velvet,checked,,double-breasted
8,Melissa Kaye,"ada 18-karat gold, diamond and enamel earrings",5565,27-Dec-2020,full/7397e05bde43d04bf92b7b632ff7ad091fe1828e.jpg,ring,,,,
9,Melissa Kaye,"ada 18-karat gold, diamond and enamel earrings",5565,27-Dec-2020,full/c24d54b312720ce9a0e620312e59c9322856b8b4.jpg,ring,,,,
10,SAINT LAURENT,"latex leggings + latex care cleaning kit 3 x 30ml bottles (vividress, vivishine, viviclean)",575,27-Dec-2020,full/fbb0f76b0a8fd077e50149a0635e6b328c2a4193.jpg,leggings,,,,
11,SAINT LAURENT,"latex leggings + latex care cleaning kit 3 x 30ml bottles (vividress, vivishine, viviclean)",575,27-Dec-2020,full/de086dcedb9a621e0fecc1c6584a5b54d528d64c.jpg,leggings,,,,
12,Jacquie Aiche,14-karat gold diamond ring,2885,27-Dec-2020,full/d0acd2620acc2df3636f6601a2dcf12d71370a95.jpg,ring,,,,
13,Jacquie Aiche,14-karat gold diamond ring,2885,27-Dec-2020,full/1925d9cd6e1c650e1402175947a2fe11274b28c5.jpg,ring,,,,
14,Gucci,horsebit-detailed wool-blend felt coat,2200,27-Dec-2020,full/cfb9e589356cfd60a6bed425602437f51723de47.jpg,coat,felt,,,
15,Gucci,horsebit-detailed wool-blend felt coat,2200,27-Dec-2020,full/d7a5de68d039998f8e0bd1562eea527ec22ee7f7.jpg,coat,felt,,,
16,JW Anderson,chain-embellished suede slippers,495,27-Dec-2020,full/96a1b78a1ecbd21628a639529a2e8817eea6bb0c.jpg,chain,suede,,,embellished
17,JW Anderson,chain-embellished suede slippers,495,27-Dec-2020,full/0a1cc0fdd40932037fa21cdc3e5f104f4418fb70.jpg,chain,suede,,,embellished
18,GANNI,plissé-georgette blouse,145,27-Dec-2020,full/23f50d1b866d6decb83decf6d5c5a69c8fa075dd.jpg,blouse,georgette,,,
19,GANNI,plissé-georgette blouse,145,27-Dec-2020,full/f6a588dee6da9efa087a08a1b48c79206b3c5ee5.jpg,blouse,georgette,,,
20,Bottega Veneta,triangle medium leather tote,2370,27-Dec-2020,full/7511cfadbc64be13d56a2a32ab95d768bc4c91c4.jpg,tote,leather,,,
21,Bottega Veneta,triangle medium leather tote,2370,27-Dec-2020,full/01c49d169dca8663f34a3cfa07a00d0c2056a731.jpg,tote,leather,,,
22,GANNI,plissé-georgette flared pants,125,27-Dec-2020,full/f28c8448e5da88f99d731c7fc7f7b42ef3ea3e5e.jpg,pants,georgette,,,
