,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Bottega Veneta,cotton-blend jacket,1660,24-Dec-2020,full/08779b89b4a18356472d716fc925dcc0fb814bbc.jpg,jacket,cotton-blend,,,
1,Bottega Veneta,cotton-blend jacket,1660,24-Dec-2020,full/241d3a4fc8cd84b20ff895134b295e7679974c23.jpg,jacket,cotton-blend,,,
2,Bottega Veneta,leather mules,590,24-Dec-2020,full/cbb23cf438825820d6248f5f80e15b3c844da1bd.jpg,,leather,,,
3,Bottega Veneta,leather mules,590,24-Dec-2020,full/d9d7cd641718e8a92ded21eff89d606b80c0590a.jpg,,leather,,,
4,WARDROBE.NYC,stretch-jersey leggings,400,24-Dec-2020,full/ab3e367afeb5716ed0762382b24a3f82828d6b59.jpg,leggings,,,,stretch-jersey
5,WARDROBE.NYC,stretch-jersey leggings,400,24-Dec-2020,full/3dc8e254f58c6171af7507acb7c81a6f5189808a.jpg,leggings,,,,stretch-jersey
6,Valentino,valentino garavani fringed intarsia wool and cashmere-blend scarf,510,24-Dec-2020,full/a2ab923ec6a16885f7ff60a8ba6445eef16485f6.jpg,ring,cashmere-blend,,,fringed
7,Valentino,valentino garavani fringed intarsia wool and cashmere-blend scarf,510,24-Dec-2020,full/e0721aa1ad0661e002aa79e52720a0b8deff86a9.jpg,ring,cashmere-blend,,,fringed
8,Valentino,wool and silk-blend midi dress,2690,24-Dec-2020,full/bbdd2eb02a0f2f8c926b368059f0f139443b9a2e.jpg,dress,silk-blend,,midi,
9,Valentino,wool and silk-blend midi dress,2690,24-Dec-2020,full/4555962db8a77ca08ce42796ff7768d8afd8ef9f.jpg,dress,silk-blend,,midi,
10,Stella McCartney,emilie vegetarian leather platform over-the-knee boots,835,24-Dec-2020,full/08c03e87c5280001514ed923a980b65e36a7e7c1.jpg,boots,leather,,,
11,Stella McCartney,emilie vegetarian leather platform over-the-knee boots,835,24-Dec-2020,full/69752f4c24353b815319582ec0ed6143dd35a4b1.jpg,boots,leather,,,
12,GANNI,plissé-georgette blouse,145,24-Dec-2020,full/23f50d1b866d6decb83decf6d5c5a69c8fa075dd.jpg,blouse,georgette,,,
13,GANNI,plissé-georgette blouse,145,24-Dec-2020,full/f6a588dee6da9efa087a08a1b48c79206b3c5ee5.jpg,blouse,georgette,,,
14,Foundrae,mini heart love token 18-karat gold and enamel necklace,1305,24-Dec-2020,full/331be0333e5f02e11a6ecee10ea2fe2e851a971a.jpg,necklace,lace,,mini,
15,Foundrae,mini heart love token 18-karat gold and enamel necklace,1305,24-Dec-2020,full/532a457bf82aab25a213fbad6d74b9baf30ffb28.jpg,necklace,lace,,mini,
